coicop,date,variable,values
Headline inflation,2011-01-01,1-year inflation,0.007608841052851296
Headline inflation,2011-01-01,3-year inflation,0.004828485275750469
Headline inflation,2011-02-01,1-year inflation,0.006934158684380788
Headline inflation,2011-02-01,3-year inflation,0.004570644930220107
Headline inflation,2011-03-01,1-year inflation,0.006241742767651133
Headline inflation,2011-03-01,3-year inflation,0.005147413923594483
Headline inflation,2011-04-01,1-year inflation,0.005641304075278524
Headline inflation,2011-04-01,3-year inflation,0.004861743390652276
Headline inflation,2011-05-01,1-year inflation,0.005568650088181172
Headline inflation,2011-05-01,3-year inflation,0.004960349204676521
Headline inflation,2011-06-01,1-year inflation,0.005187585536996974
Headline inflation,2011-06-01,3-year inflation,0.005059890342137417
Headline inflation,2011-07-01,1-year inflation,0.0061390773524452845
Headline inflation,2011-07-01,3-year inflation,0.0045272904084553214
Headline inflation,2011-08-01,1-year inflation,0.00519571409555679
Headline inflation,2011-08-01,3-year inflation,0.004188565082815979
Headline inflation,2011-09-01,1-year inflation,0.005256969218332773
Headline inflation,2011-09-01,3-year inflation,0.005016795201761422
Headline inflation,2011-10-01,1-year inflation,0.005092575720611062
Headline inflation,2011-10-01,3-year inflation,0.004739067029466533
Headline inflation,2011-11-01,1-year inflation,0.005103453943896197
Headline inflation,2011-11-01,3-year inflation,0.004743011533651859
Headline inflation,2011-12-01,1-year inflation,0.006140982768688937
Headline inflation,2011-12-01,3-year inflation,0.004553153834112459
Headline inflation,2012-01-01,1-year inflation,0.00521916760384165
Headline inflation,2012-01-01,3-year inflation,0.004342458320862731
Headline inflation,2012-02-01,1-year inflation,0.005548806543605322
Headline inflation,2012-02-01,3-year inflation,0.0038308810020725955
Headline inflation,2012-03-01,1-year inflation,0.0068428565878206156
Headline inflation,2012-03-01,3-year inflation,0.004331602032265992
Headline inflation,2012-04-01,1-year inflation,0.006110125919620703
Headline inflation,2012-04-01,3-year inflation,0.004584476705473183
Headline inflation,2012-05-01,1-year inflation,0.006397224249499824
Headline inflation,2012-05-01,3-year inflation,0.004361255337836265
Headline inflation,2012-06-01,1-year inflation,0.007132082653048793
Headline inflation,2012-06-01,3-year inflation,0.004766159347301294
Headline inflation,2012-07-01,1-year inflation,0.0069388264062666205
Headline inflation,2012-07-01,3-year inflation,0.0036498424454285664
Headline inflation,2012-08-01,1-year inflation,0.005227811708323062
Headline inflation,2012-08-01,3-year inflation,0.0033656633615014604
Headline inflation,2012-09-01,1-year inflation,0.007337421285339057
Headline inflation,2012-09-01,3-year inflation,0.004661719675747728
Headline inflation,2012-10-01,1-year inflation,0.006354889214071322
Headline inflation,2012-10-01,3-year inflation,0.004440857858846392
Headline inflation,2012-11-01,1-year inflation,0.006665657786723081
Headline inflation,2012-11-01,3-year inflation,0.004052780199359121
Headline inflation,2012-12-01,1-year inflation,0.0069064627861377265
Headline inflation,2012-12-01,3-year inflation,0.003980467635196857
Headline inflation,2013-01-01,1-year inflation,0.0073591602153614075
Headline inflation,2013-01-01,3-year inflation,0.0036218028606376886
Headline inflation,2013-02-01,1-year inflation,0.007520851132631645
Headline inflation,2013-02-01,3-year inflation,0.003825223841759198
Headline inflation,2013-03-01,1-year inflation,0.006971466116058092
Headline inflation,2013-03-01,3-year inflation,0.003767908339680034
Headline inflation,2013-04-01,1-year inflation,0.006146563203587858
Headline inflation,2013-04-01,3-year inflation,0.0037233334529787666
Headline inflation,2013-05-01,1-year inflation,0.006296707554123012
Headline inflation,2013-05-01,3-year inflation,0.004021992074164333
Headline inflation,2013-06-01,1-year inflation,0.006703078031292311
Headline inflation,2013-06-01,3-year inflation,0.003873359034136375
