"","date","coicop","values"
"197",2022-05-01,"NRG",3.87
"198",2022-06-01,"NRG",4.19
"199",2022-07-01,"NRG",4.02
"200",2022-08-01,"NRG",3.95
"201",2022-09-01,"NRG",4.19
"202",2022-10-01,"NRG",4.44
"203",2022-11-01,"NRG",3.82
"204",2022-12-01,"NRG",2.79
"205",2023-01-01,"NRG",2.17
"206",2023-02-01,"NRG",1.64
"207",2023-03-01,"NRG",-0.05
"208",2023-04-01,"NRG",0.37
"209",2023-05-01,"NRG",-0.09
"210",2023-06-01,"NRG",-0.57
"211",2023-07-01,"NRG",-0.62
"212",2023-08-01,"NRG",-0.34
"213",2023-09-01,"NRG",-0.55
"214",2023-10-01,"NRG",-1.46
"215",2023-11-01,"NRG",-1.41
"216",2023-12-01,"NRG",-0.68
"217",2024-01-01,"NRG",-0.62
"218",2024-02-01,"NRG",-0.36
"219",2024-03-01,"NRG",-0.16
"220",2024-04-01,"NRG",-0.04
"221",2024-05-01,"NRG",0.04
"222",2024-06-01,"NRG",0.02
"223",2024-07-01,"NRG",0.12
"224",2024-08-01,"NRG",-0.29
"225",2024-09-01,"NRG",-0.6
"226",2024-10-01,"NRG",-0.45
"227",2024-11-01,"NRG",-0.19
"228",2024-12-01,"NRG",0.01
"229",2025-01-01,"NRG",0.18
"230",2025-02-01,"NRG",0.01
"231",2025-03-01,"NRG",-0.1
"232",2025-04-01,"NRG",-0.35
"233",2025-05-01,"NRG",-0.34
"234",2025-06-01,"NRG",-0.25
"235",2019-01-01,"SERV",0.7
"236",2019-02-01,"SERV",0.61
"237",2019-03-01,"SERV",0.51
"238",2019-04-01,"SERV",0.86
"239",2019-05-01,"SERV",0.47
"240",2019-06-01,"SERV",0.73
"241",2019-07-01,"SERV",0.53
"242",2019-08-01,"SERV",0.6
"243",2019-09-01,"SERV",0.66
"244",2019-10-01,"SERV",0.69
"245",2019-11-01,"SERV",0.82
"246",2019-12-01,"SERV",0.8
"247",2020-01-01,"SERV",0.68
"248",2020-02-01,"SERV",0.72
"249",2020-03-01,"SERV",0.6
"250",2020-04-01,"SERV",0.52
"251",2020-05-01,"SERV",0.59
"252",2020-06-01,"SERV",0.55
"253",2020-07-01,"SERV",0.42
"254",2020-08-01,"SERV",0.3
"255",2020-09-01,"SERV",0.24
"256",2020-10-01,"SERV",0.18
"257",2020-11-01,"SERV",0.25
"258",2020-12-01,"SERV",0.3
"259",2021-01-01,"SERV",0.65
"260",2021-02-01,"SERV",0.55
"261",2021-03-01,"SERV",0.57
"262",2021-04-01,"SERV",0.37
"263",2021-05-01,"SERV",0.45
"264",2021-06-01,"SERV",0.28
"265",2021-07-01,"SERV",0.31
"266",2021-08-01,"SERV",0.43
"267",2021-09-01,"SERV",0.72
"268",2021-10-01,"SERV",0.86
"269",2021-11-01,"SERV",1.16
"270",2021-12-01,"SERV",1.02
"271",2022-01-01,"SERV",0.98
"272",2022-02-01,"SERV",1.04
"273",2022-03-01,"SERV",1.12
"274",2022-04-01,"SERV",1.38
"275",2022-05-01,"SERV",1.46
"276",2022-06-01,"SERV",1.42
"277",2022-07-01,"SERV",1.6
"278",2022-08-01,"SERV",1.62
"279",2022-09-01,"SERV",1.8
"280",2022-10-01,"SERV",1.82
"281",2022-11-01,"SERV",1.76
"282",2022-12-01,"SERV",1.83
"283",2023-01-01,"SERV",1.81
"284",2023-02-01,"SERV",2.02
"285",2023-03-01,"SERV",2.1
"286",2023-04-01,"SERV",2.21
"287",2023-05-01,"SERV",2.15
"288",2023-06-01,"SERV",2.31
"289",2023-07-01,"SERV",2.47
"290",2023-08-01,"SERV",2.41
"291",2023-09-01,"SERV",2.05
"292",2023-10-01,"SERV",1.97
"293",2023-11-01,"SERV",1.69
"294",2023-12-01,"SERV",1.74
"295",2024-01-01,"SERV",1.73
"296",2024-02-01,"SERV",1.73
"297",2024-03-01,"SERV",1.76
"298",2024-04-01,"SERV",1.64
"299",2024-05-01,"SERV",1.83
"300",2024-06-01,"SERV",1.84
"301",2024-07-01,"SERV",1.82
"302",2024-08-01,"SERV",1.88
"303",2024-09-01,"SERV",1.76
"304",2024-10-01,"SERV",1.77
"305",2024-11-01,"SERV",1.74
"306",2024-12-01,"SERV",1.78
"307",2025-01-01,"SERV",1.77
"308",2025-02-01,"SERV",1.66
"309",2025-03-01,"SERV",1.56
"310",2025-04-01,"SERV",1.8
"311",2025-05-01,"SERV",1.47
"312",2025-06-01,"SERV",1.51
