coicop,date,weighted_yes_no,values
Core inflation,2022-06-01,Unweighted,0.021962647716904312
Headline inflation,2022-06-01,Unweighted,0.04395619829354049
Core inflation,2022-06-01,Weighted,0.010560355756133222
Headline inflation,2022-06-01,Weighted,0.018654338113051238
Core inflation,2022-05-01,Unweighted,0.020103416834484945
Headline inflation,2022-05-01,Unweighted,0.039396232788107256
Core inflation,2022-05-01,Weighted,0.009052954613778814
Headline inflation,2022-05-01,Weighted,0.01791193821944396
Core inflation,2022-04-01,Unweighted,0.021745598465702867
Headline inflation,2022-04-01,Unweighted,0.03565518342770316
Core inflation,2022-04-01,Weighted,0.010064226890472159
Headline inflation,2022-04-01,Weighted,0.0180781687308494
Core inflation,2022-03-01,Unweighted,0.018898343007286447
Headline inflation,2022-03-01,Unweighted,0.030743206352657905
Core inflation,2022-03-01,Weighted,0.008917010454353131
Headline inflation,2022-03-01,Weighted,0.019305074146070647
Core inflation,2022-02-01,Unweighted,0.016428072892076186
Headline inflation,2022-02-01,Unweighted,0.02522237936937417
Core inflation,2022-02-01,Weighted,0.007969316884250595
Headline inflation,2022-02-01,Weighted,0.015046264431843304
Core inflation,2022-01-01,Unweighted,0.015755617210512905
Headline inflation,2022-01-01,Unweighted,0.023850411008264783
Core inflation,2022-01-01,Weighted,0.007806237974800615
Headline inflation,2022-01-01,Weighted,0.014723885692608083
Core inflation,2021-12-01,Unweighted,0.014372488338928357
Headline inflation,2021-12-01,Unweighted,0.024097608529522287
Core inflation,2021-12-01,Weighted,0.010362816033214267
Headline inflation,2021-12-01,Weighted,0.013391782746621263
Core inflation,2021-11-01,Unweighted,0.013453526244856871
Headline inflation,2021-11-01,Unweighted,0.01850995464750337
Core inflation,2021-11-01,Weighted,0.011588006119038947
Headline inflation,2021-11-01,Weighted,0.012697867958954171
Core inflation,2021-10-01,Unweighted,0.013283448347473633
Headline inflation,2021-10-01,Unweighted,0.016464555230778888
Core inflation,2021-10-01,Weighted,0.007929737022142018
Headline inflation,2021-10-01,Weighted,0.009760500577970515
Core inflation,2021-09-01,Unweighted,0.01114497762742436
Headline inflation,2021-09-01,Unweighted,0.01425879230140957
Core inflation,2021-09-01,Weighted,0.0067589949468642935
Headline inflation,2021-09-01,Weighted,0.007773024356707102
Core inflation,2021-08-01,Unweighted,0.011878662869992875
Headline inflation,2021-08-01,Unweighted,0.012084788176180744
Core inflation,2021-08-01,Weighted,0.007893588632809275
Headline inflation,2021-08-01,Weighted,0.0069496567178428835
Core inflation,2021-07-01,Unweighted,0.012599498736896347
Headline inflation,2021-07-01,Unweighted,0.011751371700448645
Core inflation,2021-07-01,Weighted,0.010847029938269045
Headline inflation,2021-07-01,Weighted,0.009035386257519552
Core inflation,2021-06-01,Unweighted,0.011608866847099428
Headline inflation,2021-06-01,Unweighted,0.010755047774490776
Core inflation,2021-06-01,Weighted,0.007645688217241823
Headline inflation,2021-06-01,Weighted,0.006111932227861858
Core inflation,2021-05-01,Unweighted,0.013156847326732472
Headline inflation,2021-05-01,Unweighted,0.01182593047412961
Core inflation,2021-05-01,Weighted,0.009359323850218176
Headline inflation,2021-05-01,Weighted,0.007180154348486934
Core inflation,2021-04-01,Unweighted,0.010356284641653462
Headline inflation,2021-04-01,Unweighted,0.009842977726598583
Core inflation,2021-04-01,Weighted,0.007378350951884841
Headline inflation,2021-04-01,Weighted,0.0063577612138355595
Core inflation,2021-03-01,Unweighted,0.012201811772286762
Headline inflation,2021-03-01,Unweighted,0.01028744764007907
Core inflation,2021-03-01,Weighted,0.008613249905855512
Headline inflation,2021-03-01,Weighted,0.007483115109017078
Core inflation,2021-02-01,Unweighted,0.010799000928448502
Headline inflation,2021-02-01,Unweighted,0.009443878552017872
Core inflation,2021-02-01,Weighted,0.008333107119964765
Headline inflation,2021-02-01,Weighted,0.007479929663455213
Core inflation,2021-01-01,Unweighted,0.011113765764747978
Headline inflation,2021-01-01,Unweighted,0.009369041966413699
Core inflation,2021-01-01,Weighted,0.007866040288053208
Headline inflation,2021-01-01,Weighted,0.0070247231367541445
Core inflation,2020-12-01,Unweighted,0.010364412797239358
Headline inflation,2020-12-01,Unweighted,0.008714627751206891
Core inflation,2020-12-01,Weighted,0.0071281238532749465
Headline inflation,2020-12-01,Weighted,0.006067696321828783
Core inflation,2020-11-01,Unweighted,0.010896039840718567
Headline inflation,2020-11-01,Unweighted,0.008795184088914498
Core inflation,2020-11-01,Weighted,0.006850124650200051
Headline inflation,2020-11-01,Weighted,0.006123089053279831
Core inflation,2020-10-01,Unweighted,0.012766217755838012
Headline inflation,2020-10-01,Unweighted,0.00985299847495007
Core inflation,2020-10-01,Weighted,0.007600968285760184
Headline inflation,2020-10-01,Weighted,0.0066163227620970174
Core inflation,2020-09-01,Unweighted,0.012947667946899083
Headline inflation,2020-09-01,Unweighted,0.009932800527333138
Core inflation,2020-09-01,Weighted,0.008099181913885348
Headline inflation,2020-09-01,Weighted,0.006744204256190024
Core inflation,2020-08-01,Unweighted,0.014197386712831493
Headline inflation,2020-08-01,Unweighted,0.011040118229725431
Core inflation,2020-08-01,Weighted,0.007004047298765881
Headline inflation,2020-08-01,Weighted,0.00596238304200434
Core inflation,2020-07-01,Unweighted,0.014964079798321258
Headline inflation,2020-07-01,Unweighted,0.011702901124799872
Core inflation,2020-07-01,Weighted,0.010276022917861616
Headline inflation,2020-07-01,Weighted,0.008228625121772222
Core inflation,2020-06-01,Unweighted,0.013247045350806187
Headline inflation,2020-06-01,Unweighted,0.011136828425023932
Core inflation,2020-06-01,Weighted,0.007785849458628603
Headline inflation,2020-06-01,Weighted,0.0070531106577468704
Core inflation,2020-05-01,Unweighted,0.00909250703659482
Headline inflation,2020-05-01,Unweighted,0.010034676718365434
Core inflation,2020-05-01,Weighted,0.004953961997593548
Headline inflation,2020-05-01,Weighted,0.0061603423762599556
Core inflation,2020-04-01,Unweighted,0.008840695376317528
Headline inflation,2020-04-01,Unweighted,0.009321170019172261
Core inflation,2020-04-01,Weighted,0.005778354652064984
Headline inflation,2020-04-01,Weighted,0.006105490129593239
Core inflation,2020-03-01,Unweighted,0.00772896125655079
Headline inflation,2020-03-01,Unweighted,0.006420362344259002
Core inflation,2020-03-01,Weighted,0.0046274303309178765
Headline inflation,2020-03-01,Weighted,0.00536253477495884
Core inflation,2020-02-01,Unweighted,0.008232637231742553
Headline inflation,2020-02-01,Unweighted,0.007796591697996193
Core inflation,2020-02-01,Weighted,0.004989086473806681
Headline inflation,2020-02-01,Weighted,0.006263104345263708
Core inflation,2020-01-01,Unweighted,0.00756915485791894
Headline inflation,2020-01-01,Unweighted,0.007409098247567329
Core inflation,2020-01-01,Weighted,0.004912961372270759
Headline inflation,2020-01-01,Weighted,0.005437828352380205
Core inflation,2019-12-01,Unweighted,0.00735848954752622
Headline inflation,2019-12-01,Unweighted,0.0076631380132766965
Core inflation,2019-12-01,Weighted,0.0052460596249199985
Headline inflation,2019-12-01,Weighted,0.006011150443466442
Core inflation,2019-11-01,Unweighted,0.006509911471627019
Headline inflation,2019-11-01,Unweighted,0.00790253124005214
Core inflation,2019-11-01,Weighted,0.005199729810227217
Headline inflation,2019-11-01,Weighted,0.00606932101483456
Core inflation,2019-10-01,Unweighted,0.0072509527504648445
Headline inflation,2019-10-01,Unweighted,0.00932723798458325
Core inflation,2019-10-01,Weighted,0.004546939947955291
Headline inflation,2019-10-01,Weighted,0.006467596952195185
Core inflation,2019-09-01,Unweighted,0.008121446591392576
Headline inflation,2019-09-01,Unweighted,0.009731122075182556
Core inflation,2019-09-01,Weighted,0.004696422713911069
Headline inflation,2019-09-01,Weighted,0.006440854290154751
Core inflation,2019-08-01,Unweighted,0.007884027824458899
Headline inflation,2019-08-01,Unweighted,0.010112394687500557
Core inflation,2019-08-01,Weighted,0.005455598320278974
Headline inflation,2019-08-01,Weighted,0.006713558922535035
Core inflation,2019-07-01,Unweighted,0.008412240455056204
Headline inflation,2019-07-01,Unweighted,0.009974177185428168
Core inflation,2019-07-01,Weighted,0.004933453939683157
Headline inflation,2019-07-01,Weighted,0.006325148050376072
Core inflation,2019-06-01,Unweighted,0.006687576856420143
Headline inflation,2019-06-01,Unweighted,0.008632252862010255
Core inflation,2019-06-01,Weighted,0.005059757384395471
Headline inflation,2019-06-01,Weighted,0.005403151633912243
Core inflation,2019-05-01,Unweighted,0.007065669409937484
Headline inflation,2019-05-01,Unweighted,0.00904142513219308
Core inflation,2019-05-01,Weighted,0.004110019091296969
Headline inflation,2019-05-01,Weighted,0.004369761631235533
Core inflation,2019-04-01,Unweighted,0.006261620775553412
Headline inflation,2019-04-01,Unweighted,0.007397545823482699
