coicop,date,variable,values
Inflation globale,2009-02-01,Inflation sur 3 ans,0.007201855893946926
Inflation globale,2009-03-01,Inflation sur 1 an,0.00870461369014759
Inflation globale,2009-03-01,Inflation sur 3 ans,0.007096284235753292
Inflation globale,2009-04-01,Inflation sur 1 an,0.007936923834515148
Inflation globale,2009-04-01,Inflation sur 3 ans,0.00683168061420375
Inflation globale,2009-05-01,Inflation sur 1 an,0.008291399292784203
Inflation globale,2009-05-01,Inflation sur 3 ans,0.006687685287434316
Inflation globale,2009-06-01,Inflation sur 1 an,0.00818156541886184
Inflation globale,2009-06-01,Inflation sur 3 ans,0.00647022036312938
Inflation globale,2009-07-01,Inflation sur 1 an,0.006724256773060982
Inflation globale,2009-07-01,Inflation sur 3 ans,0.006444214084069712
Inflation globale,2009-08-01,Inflation sur 1 an,0.0055735257444747745
Inflation globale,2009-08-01,Inflation sur 3 ans,0.006273407508067264
Inflation globale,2009-09-01,Inflation sur 1 an,0.0064550621017563144
Inflation globale,2009-09-01,Inflation sur 3 ans,0.006237048089021771
Inflation globale,2009-10-01,Inflation sur 1 an,0.006045875732380573
Inflation globale,2009-10-01,Inflation sur 3 ans,0.005972501996335428
Inflation globale,2009-11-01,Inflation sur 1 an,0.006288973217673035
Inflation globale,2009-11-01,Inflation sur 3 ans,0.00591905929707804
Inflation globale,2009-12-01,Inflation sur 1 an,0.006307233449744902
Inflation globale,2009-12-01,Inflation sur 3 ans,0.005707364530634141
Inflation globale,2010-01-01,Inflation sur 1 an,0.006704482898504755
Inflation globale,2010-01-01,Inflation sur 3 ans,0.005651585337063892
Inflation globale,2010-02-01,Inflation sur 1 an,0.007532087854244461
Inflation globale,2010-02-01,Inflation sur 3 ans,0.005818380796944943
Inflation globale,2010-03-01,Inflation sur 1 an,0.009020267912953855
Inflation globale,2010-03-01,Inflation sur 3 ans,0.006062226457828289
Inflation globale,2010-04-01,Inflation sur 1 an,0.009718741156450574
Inflation globale,2010-04-01,Inflation sur 3 ans,0.006463303422383846
Inflation globale,2010-05-01,Inflation sur 1 an,0.009920820040265357
Inflation globale,2010-05-01,Inflation sur 3 ans,0.0065060415162248
Inflation globale,2010-06-01,Inflation sur 1 an,0.010013742615216939
Inflation globale,2010-06-01,Inflation sur 3 ans,0.006449551965146117
Inflation globale,2010-07-01,Inflation sur 1 an,0.00887031434693582
Inflation globale,2010-07-01,Inflation sur 3 ans,0.00639774606016817
Inflation globale,2010-08-01,Inflation sur 1 an,0.009303036676976701
Inflation globale,2010-08-01,Inflation sur 3 ans,0.006305878995533696
Inflation globale,2010-09-01,Inflation sur 1 an,0.009749558731031194
Inflation globale,2010-09-01,Inflation sur 3 ans,0.0064733107240169275
Inflation globale,2010-10-01,Inflation sur 1 an,0.008565501273178181
Inflation globale,2010-10-01,Inflation sur 3 ans,0.005947727822933656
Inflation globale,2010-11-01,Inflation sur 1 an,0.007498689018459159
Inflation globale,2010-11-01,Inflation sur 3 ans,0.005861932766765893
Inflation globale,2010-12-01,Inflation sur 1 an,0.00769347135971997
Inflation globale,2010-12-01,Inflation sur 3 ans,0.005546718284853904
Inflation globale,2011-01-01,Inflation sur 1 an,0.007608841052851296
Inflation globale,2011-01-01,Inflation sur 3 ans,0.004828485275750469
Inflation globale,2011-02-01,Inflation sur 1 an,0.006934158684380788
Inflation globale,2011-02-01,Inflation sur 3 ans,0.004570644930220107
Inflation globale,2011-03-01,Inflation sur 1 an,0.006241742767651133
Inflation globale,2011-03-01,Inflation sur 3 ans,0.005147413923594483
Inflation globale,2011-04-01,Inflation sur 1 an,0.005641304075278524
Inflation globale,2011-04-01,Inflation sur 3 ans,0.004861743390652276
