coicop,date,weighted_yes_no,values
Inflation globale,2021-03-01,Écart-type pondéré,0.007483115109017078
Inflation sous-jacente,2021-02-01,Écart-type non-pondéré,0.010799000928448502
Inflation globale,2021-02-01,Écart-type non-pondéré,0.009443878552017872
Inflation sous-jacente,2021-02-01,Écart-type pondéré,0.008333107119964765
Inflation globale,2021-02-01,Écart-type pondéré,0.007479929663455213
Inflation sous-jacente,2021-01-01,Écart-type non-pondéré,0.011113765764747978
Inflation globale,2021-01-01,Écart-type non-pondéré,0.009369041966413699
Inflation sous-jacente,2021-01-01,Écart-type pondéré,0.007866040288053208
Inflation globale,2021-01-01,Écart-type pondéré,0.0070247231367541445
Inflation sous-jacente,2020-12-01,Écart-type non-pondéré,0.010364412797239358
Inflation globale,2020-12-01,Écart-type non-pondéré,0.008714627751206891
Inflation sous-jacente,2020-12-01,Écart-type pondéré,0.0071281238532749465
Inflation globale,2020-12-01,Écart-type pondéré,0.006067696321828783
Inflation sous-jacente,2020-11-01,Écart-type non-pondéré,0.010896039840718567
Inflation globale,2020-11-01,Écart-type non-pondéré,0.008795184088914498
Inflation sous-jacente,2020-11-01,Écart-type pondéré,0.006850124650200051
Inflation globale,2020-11-01,Écart-type pondéré,0.006123089053279831
Inflation sous-jacente,2020-10-01,Écart-type non-pondéré,0.012766217755838012
Inflation globale,2020-10-01,Écart-type non-pondéré,0.00985299847495007
Inflation sous-jacente,2020-10-01,Écart-type pondéré,0.007600968285760184
Inflation globale,2020-10-01,Écart-type pondéré,0.0066163227620970174
Inflation sous-jacente,2020-09-01,Écart-type non-pondéré,0.012947667946899083
Inflation globale,2020-09-01,Écart-type non-pondéré,0.009932800527333138
Inflation sous-jacente,2020-09-01,Écart-type pondéré,0.008099181913885348
Inflation globale,2020-09-01,Écart-type pondéré,0.006744204256190024
Inflation sous-jacente,2020-08-01,Écart-type non-pondéré,0.014197386712831493
Inflation globale,2020-08-01,Écart-type non-pondéré,0.011040118229725431
Inflation sous-jacente,2020-08-01,Écart-type pondéré,0.007004047298765881
Inflation globale,2020-08-01,Écart-type pondéré,0.00596238304200434
Inflation sous-jacente,2020-07-01,Écart-type non-pondéré,0.014964079798321258
Inflation globale,2020-07-01,Écart-type non-pondéré,0.011702901124799872
Inflation sous-jacente,2020-07-01,Écart-type pondéré,0.010276022917861616
Inflation globale,2020-07-01,Écart-type pondéré,0.008228625121772222
Inflation sous-jacente,2020-06-01,Écart-type non-pondéré,0.013247045350806187
Inflation globale,2020-06-01,Écart-type non-pondéré,0.011136828425023932
Inflation sous-jacente,2020-06-01,Écart-type pondéré,0.007785849458628603
Inflation globale,2020-06-01,Écart-type pondéré,0.0070531106577468704
Inflation sous-jacente,2020-05-01,Écart-type non-pondéré,0.00909250703659482
Inflation globale,2020-05-01,Écart-type non-pondéré,0.010034676718365434
Inflation sous-jacente,2020-05-01,Écart-type pondéré,0.004953961997593548
Inflation globale,2020-05-01,Écart-type pondéré,0.0061603423762599556
Inflation sous-jacente,2020-04-01,Écart-type non-pondéré,0.008840695376317528
Inflation globale,2020-04-01,Écart-type non-pondéré,0.009321170019172261
Inflation sous-jacente,2020-04-01,Écart-type pondéré,0.005778354652064984
Inflation globale,2020-04-01,Écart-type pondéré,0.006105490129593239
Inflation sous-jacente,2020-03-01,Écart-type non-pondéré,0.00772896125655079
Inflation globale,2020-03-01,Écart-type non-pondéré,0.006420362344259002
Inflation sous-jacente,2020-03-01,Écart-type pondéré,0.0046274303309178765
Inflation globale,2020-03-01,Écart-type pondéré,0.00536253477495884
Inflation sous-jacente,2020-02-01,Écart-type non-pondéré,0.008232637231742553
Inflation globale,2020-02-01,Écart-type non-pondéré,0.007796591697996193
Inflation sous-jacente,2020-02-01,Écart-type pondéré,0.004989086473806681
